Item,Quantity,Part,Description,Supplier,Link,Unit Price,Total
1,1,Raspberry Pi Zero 2W with Header,Micro-Computer,Adafruit,https://www.adafruit.com/product/6008,$13.90 ,
2,1,WM8960 Hi-Fi Sound Card HAT,Sound Card,Waveshare,https://www.waveshare.com/wm8960-audio-hat.htm,$18.99 ,
3,1,2.8inch IPS SPI LCD Touch Display Module,Display,Elecrow,https://www.elecrow.com/2-8-ips-spi-lcd-capacitive-touch-module-ili9341-driver-240-320-resolution.html,$10.90 ,
4,1,UPS HAT for Raspberry Pi Zero,Power Supply,DFRobot,https://www.dfrobot.com/product-1932.html,$19.90 ,
5,1,974058 3.7V 3000mAh Lipo Battery Lithium Polymer Batteries,Battery,YouTu Battery Store,https://www.aliexpress.us/item/3256809054033588.html,$14.99 ,
6,1,Soldering Iron Kit,Soldering Tools,KYZHXVO Store,https://www.amazon.com/Soldering-Adjustable-Temperature-Multimeter-Desoldering/dp/B09VXQ221K?sr=8-11,$16.99 ,
7,1,Degree Rotary Encoder EC11 Push Button,Volume Knob,Connector Assemble Store,https://www.aliexpress.us/item/3256812453298792.html,$2.29 ,
8,1,Wire Silicone Insulation Tinned Copper,5 meter 28 AWG wire,Ammax Official Store,https://www.aliexpress.us/item/3256801334498498.html,$2.06 ,
9,1,Retro Foldable Over-ear Headphones Wired,Wired Headphones,Shenzhen Smile Technology,https://www.alibaba.com/product-detail/Retro-Foldable-Over-ear-Headphones-Wired_1601209006313.html,$24.28 ,
10,1,Illuminated LED Toggle Switch,Power Switch,Connectore Store Store,https://www.aliexpress.us/item/3256808670191342.html,$4.07 ,
11,1,Long Header Jumper Wire,40pcs 10cm Female to Female Header Jumper Cables,Chanzon Store,https://www.amazon.com/Connector-Solderless-Multicolor-Electronic-Breadboard/dp/B09FPGT7JT?sr=8-7,$6.99 ,
12,2,Momentary Push Button,Buttons,FILN Online Store,https://www.aliexpress.us/item/1005009024025383.html,$3.53 ,
13,1,Patriot LX Series Micro SD Flash Memory Card 32GB,Storage,Patriot Memory Store,https://www.amazon.com/Patriot-Micro-Flash-Memory-Card/dp/B08KSSXKYR?sr=8-4,$13.49 ,
,,Estimated Shipping Costs + Tax,Shipping estimate to PO Box in Florida followed by carrier to Panama by sea (tax estimate included),MBE Panama,https://www.mbe-ca.com/,$40.00 ,
Total,,,,,,,$$192.38 


(Disclaimer: I will have my friend 3d print the parts for me locally on his 3d printer so it is not included in the costs)
